symbol,direction,entry_price,rsi,atr,macd,trend_score,momentum_score,volatility_score,session,sl,tp,mfe,mae,label
EURUSD,BUY,1.168361,75.364654,0.00127,0.000606,75.0,25.364654,0.000664,new_york,1.16646,1.17154,0.003697,-0.000546,1
EURUSD,BUY,1.169591,80.615814,0.001217,0.001755,75.0,30.615814,0.000687,asia,1.16776,1.17263,0.004394,-0.000957,1
EURUSD,BUY,1.171646,66.686017,0.000929,0.00163,75.0,16.686017,0.000591,london,1.17025,1.17397,0.002338,-0.000274,1
EURUSD,BUY,1.174398,81.179688,0.001278,0.00249,75.0,31.179688,0.000565,new_york,1.17248,1.17759,0.000552,-0.002065,0
EURUSD,BUY,1.173847,53.651342,0.000986,0.001372,40.0,3.651342,0.000539,asia,1.17237,1.17631,0.000827,-0.001514,0
EURUSD,BUY,1.17302,34.622168,0.000679,0.000577,75.0,15.377832,0.00033,london,1.172,1.17472,0.001792,-0.000687,1
EURUSD,BUY,1.174398,50.944197,0.001043,0.000451,40.0,0.944197,0.000555,new_york,1.17283,1.17701,0.002765,-0.001378,1
EURUSD,BUY,1.173571,53.328529,0.001014,-7.9e-05,40.0,3.328529,0.000582,asia,1.17205,1.17611,0.002623,-0.000551,1
EURUSD,BUY,1.175641,58.710405,0.000817,0.000233,65.0,8.710405,0.000549,london,1.17441,1.17768,0.001522,-0.00138,0
EURUSD,BUY,1.175503,59.644632,0.001055,0.000431,65.0,9.644632,0.00053,asia,1.17392,1.17814,0.003882,-0.000553,1
EURUSD,BUY,1.175503,38.879038,0.0008,0.000322,65.0,11.120962,0.000485,asia,1.1743,1.1775,0.002492,-0.000553,1
EURUSD,BUY,1.177995,73.708441,0.000849,0.000573,75.0,23.708441,0.000419,london,1.17672,1.18012,0.001389,-0.001801,0
EURUSD,BUY,1.175226,48.282199,0.001762,0.000294,40.0,1.717801,0.000894,asia,1.17258,1.17963,0.000414,-0.004129,0
EURUSD,BUY,1.173434,9.661427,0.001186,-0.000442,75.0,40.338573,0.000898,asia,1.17165,1.1764,0.0,-0.002336,0
EURUSD,SELL,1.172745,37.654996,0.001051,-0.000995,65.0,12.345004,0.000681,london,1.17432,1.17012,0.000275,0.0,0
EURUSD,SELL,1.17426,66.180434,0.00117,-0.000259,75.0,16.180434,0.000741,asia,1.17602,1.17133,0.002614,-0.001652,0
EURUSD,SELL,1.174536,50.0,0.0007,-0.000254,40.0,0.0,0.000596,asia,1.17559,1.17279,0.002478,-0.000965,1
EURUSD,SELL,1.171646,30.023882,0.000758,-0.000353,75.0,19.976118,0.000399,london,1.17278,1.16975,0.0,0.0,0
EURUSD,SELL,1.17247,39.753166,0.001475,-0.000225,65.0,10.246834,0.000837,asia,1.17468,1.16878,0.001784,-0.000961,0
EURUSD,SELL,1.172058,29.02829,0.000914,-0.000467,75.0,20.97171,0.000795,asia,1.17343,1.16977,0.001372,-0.000137,0
EURUSD,SELL,1.171372,34.277494,0.000736,-0.000584,75.0,15.722506,0.000396,london,1.17248,1.16953,0.000686,0.0,0
EURUSD,SELL,1.171372,45.070905,0.001119,-0.000237,40.0,4.929095,0.000612,asia,1.17305,1.16858,0.000274,0.0,0
EURUSD,SELL,1.172058,42.215794,0.000756,-0.000158,65.0,7.784206,0.000536,asia,1.17319,1.17017,0.000412,0.0,0
EURUSD,BUY,1.175364,81.825159,0.000786,0.000574,75.0,31.825159,0.000489,new_york,1.17418,1.17733,0.002492,-0.000552,1
EURUSD,BUY,1.176471,68.24316,0.001046,0.001071,75.0,18.24316,0.000554,asia,1.1749,1.17908,0.003053,-0.000553,1
EURUSD,BUY,1.177856,59.104968,0.000771,0.00135,65.0,9.104968,0.000481,asia,1.1767,1.17978,0.002503,-0.000555,1
EURUSD,BUY,1.177856,56.848854,0.000833,0.001423,65.0,6.848854,0.000493,new_york,1.17661,1.17994,0.002224,-0.00097,1
EURUSD,BUY,1.179802,57.819645,0.000963,0.000887,65.0,7.819645,0.000572,asia,1.17836,1.18221,0.001812,-0.001529,0
EURUSD,BUY,1.180359,66.067629,0.000924,0.000763,75.0,16.067629,0.000612,asia,1.17897,1.18267,0.000418,-0.001392,0
EURUSD,BUY,1.178967,44.831608,0.000925,0.000252,65.0,5.168392,0.00057,new_york,1.17758,1.18128,0.000556,-0.001804,0
EURUSD,BUY,1.178273,40.544675,0.000735,-0.000187,65.0,9.455325,0.00049,asia,1.17717,1.18011,0.001251,-0.00111,0
EURUSD,SELL,1.178273,50.0,0.000883,-0.000184,40.0,0.0,0.000425,asia,1.1796,1.17607,0.000278,0.0,0
EURUSD,SELL,1.179663,66.667533,0.001131,-0.000111,75.0,16.667533,0.000384,asia,1.18136,1.17683,0.003054,-0.001668,1
EURUSD,SELL,1.177718,42.505257,0.000913,-0.000299,65.0,7.494743,0.000344,london,1.17909,1.17544,0.0,0.0,0
EURUSD,SELL,1.177579,44.069228,0.001061,-0.000205,65.0,5.930772,0.000502,new_york,1.17917,1.17493,0.0018,-0.00097,0
EURUSD,SELL,1.177718,44.643131,0.000952,-0.000128,65.0,5.356869,0.000487,asia,1.17915,1.17534,0.001939,-0.001109,0
EURUSD,SELL,1.176886,44.92936,0.00108,-0.000266,65.0,5.07064,0.000607,london,1.17851,1.17419,0.000831,0.0,0
EURUSD,SELL,1.177024,54.644372,0.001337,-0.000403,40.0,4.644372,0.000739,new_york,1.17903,1.17368,0.003729,-0.002902,1
